Task ID,Task Name,SOPs,PPEs
1,Task 1: Operation Welding,"SOP 465: Detailed Procedure on Task, SOP 941: Detailed Procedure on Task, SOP 955: Detailed Procedure on Task, SOP 857: Detailed Procedure on Task","Face Shield, Respirator"
2,Task 2: Operation Electrical Repair,"SOP 375: Detailed Procedure on Task, SOP 562: Detailed Procedure on Task","Goggles, Safety Boots, Face Shield, Respirator"
3,Task 3: Operation Painting,"SOP 187: Detailed Procedure on Task, SOP 476: Detailed Procedure on Task, SOP 382: Detailed Procedure on Task, SOP 448: Detailed Procedure on Task","Helmet, Gloves, Safety Boots, Face Shield, Insulated Gloves"
4,Task 4: Operation Electrical Repair,"SOP 872: Detailed Procedure on Task, SOP 653: Detailed Procedure on Task, SOP 393: Detailed Procedure on Task, SOP 896: Detailed Procedure on Task","Safety Boots, Ear Plugs, Gloves, Respirator, Insulated Gloves"
5,Task 5: Operation Chemical Handling,"SOP 882: Detailed Procedure on Task, SOP 882: Detailed Procedure on Task, SOP 772: Detailed Procedure on Task","Gloves, Goggles"
6,Task 6: Operation Chemical Handling,"SOP 411: Detailed Procedure on Task, SOP 409: Detailed Procedure on Task, SOP 635: Detailed Procedure on Task","Face Shield, Ear Plugs, Gloves"
7,Task 7: Operation Mechanical Assembly,"SOP 622: Detailed Procedure on Task, SOP 729: Detailed Procedure on Task, SOP 992: Detailed Procedure on Task, SOP 273: Detailed Procedure on Task, SOP 313: Detailed Procedure on Task","Goggles, Apron, Safety Boots, Ear Plugs, Helmet"
8,Task 8: Operation Chemical Handling,"SOP 704: Detailed Procedure on Task, SOP 944: Detailed Procedure on Task, SOP 854: Detailed Procedure on Task, SOP 882: Detailed Procedure on Task, SOP 640: Detailed Procedure on Task","Safety Boots, Face Shield"
9,Task 9: Operation Electrical Repair,"SOP 716: Detailed Procedure on Task, SOP 911: Detailed Procedure on Task","Ear Plugs, Helmet, Insulated Gloves"
10,Task 10: Operation Electrical Repair,"SOP 308: Detailed Procedure on Task, SOP 687: Detailed Procedure on Task, SOP 947: Detailed Procedure on Task, SOP 270: Detailed Procedure on Task","Insulated Gloves, Helmet, Gloves, Goggles"
11,Task 11: Operation Plumbing,"SOP 238: Detailed Procedure on Task, SOP 575: Detailed Procedure on Task","Goggles, Helmet, Gloves, Safety Boots, Respirator"
12,Task 12: Operation Painting,"SOP 860: Detailed Procedure on Task, SOP 320: Detailed Procedure on Task, SOP 250: Detailed Procedure on Task, SOP 135: Detailed Procedure on Task, SOP 746: Detailed Procedure on Task","Safety Boots, Apron"
13,Task 13: Operation Plumbing,"SOP 614: Detailed Procedure on Task, SOP 338: Detailed Procedure on Task","Face Shield, Helmet"
14,Task 14: Operation Painting,"SOP 582: Detailed Procedure on Task, SOP 767: Detailed Procedure on Task, SOP 517: Detailed Procedure on Task, SOP 543: Detailed Procedure on Task, SOP 744: Detailed Procedure on Task","Face Shield, Apron, Helmet"
15,Task 15: Operation Electrical Repair,"SOP 628: Detailed Procedure on Task, SOP 516: Detailed Procedure on Task, SOP 866: Detailed Procedure on Task, SOP 250: Detailed Procedure on Task","Safety Boots, Goggles, Helmet, Face Shield"
16,Task 16: Operation Mechanical Assembly,"SOP 564: Detailed Procedure on Task, SOP 289: Detailed Procedure on Task, SOP 104: Detailed Procedure on Task, SOP 685: Detailed Procedure on Task","Helmet, Face Shield, Apron, Insulated Gloves"
17,Task 17: Operation Electrical Repair,"SOP 705: Detailed Procedure on Task, SOP 726: Detailed Procedure on Task, SOP 213: Detailed Procedure on Task","Safety Boots, Apron, Goggles, Ear Plugs, Face Shield"
18,Task 18: Operation Mechanical Assembly,"SOP 535: Detailed Procedure on Task, SOP 656: Detailed Procedure on Task","Face Shield, Goggles, Safety Boots"
19,Task 19: Operation Painting,"SOP 199: Detailed Procedure on Task, SOP 355: Detailed Procedure on Task","Respirator, Apron, Goggles, Ear Plugs, Helmet"
20,Task 20: Operation Plumbing,"SOP 862: Detailed Procedure on Task, SOP 499: Detailed Procedure on Task, SOP 655: Detailed Procedure on Task, SOP 648: Detailed Procedure on Task","Ear Plugs, Helmet, Face Shield, Respirator"
21,Task 21: Operation Chemical Handling,"SOP 400: Detailed Procedure on Task, SOP 915: Detailed Procedure on Task, SOP 754: Detailed Procedure on Task","Goggles, Safety Boots, Gloves, Apron"
22,Task 22: Operation Electrical Repair,"SOP 812: Detailed Procedure on Task, SOP 602: Detailed Procedure on Task","Safety Boots, Helmet, Insulated Gloves, Respirator"
23,Task 23: Operation Chemical Handling,"SOP 447: Detailed Procedure on Task, SOP 537: Detailed Procedure on Task","Respirator, Helmet, Safety Boots"
24,Task 24: Operation Chemical Handling,"SOP 830: Detailed Procedure on Task, SOP 716: Detailed Procedure on Task, SOP 650: Detailed Procedure on Task","Gloves, Goggles, Apron, Safety Boots, Ear Plugs"
25,Task 25: Operation Painting,"SOP 478: Detailed Procedure on Task, SOP 727: Detailed Procedure on Task, SOP 267: Detailed Procedure on Task, SOP 802: Detailed Procedure on Task","Ear Plugs, Apron, Goggles, Helmet, Gloves"
26,Task 26: Operation Plumbing,"SOP 152: Detailed Procedure on Task, SOP 926: Detailed Procedure on Task","Insulated Gloves, Safety Boots, Respirator"
27,Task 27: Operation Electrical Repair,"SOP 543: Detailed Procedure on Task, SOP 437: Detailed Procedure on Task","Ear Plugs, Gloves, Face Shield"
28,Task 28: Operation Chemical Handling,"SOP 662: Detailed Procedure on Task, SOP 895: Detailed Procedure on Task, SOP 772: Detailed Procedure on Task","Respirator, Helmet, Goggles"
29,Task 29: Operation Painting,"SOP 261: Detailed Procedure on Task, SOP 856: Detailed Procedure on Task","Ear Plugs, Respirator, Goggles"
30,Task 30: Operation Plumbing,"SOP 863: Detailed Procedure on Task, SOP 204: Detailed Procedure on Task, SOP 127: Detailed Procedure on Task","Gloves, Respirator, Safety Boots, Helmet"
31,Task 31: Operation Plumbing,"SOP 610: Detailed Procedure on Task, SOP 831: Detailed Procedure on Task","Safety Boots, Gloves, Ear Plugs, Apron"
32,Task 32: Operation Plumbing,"SOP 113: Detailed Procedure on Task, SOP 495: Detailed Procedure on Task, SOP 922: Detailed Procedure on Task, SOP 994: Detailed Procedure on Task, SOP 718: Detailed Procedure on Task","Respirator, Goggles, Helmet"
33,Task 33: Operation Painting,"SOP 408: Detailed Procedure on Task, SOP 460: Detailed Procedure on Task, SOP 771: Detailed Procedure on Task","Helmet, Goggles, Apron, Ear Plugs, Insulated Gloves"
34,Task 34: Operation Welding,"SOP 388: Detailed Procedure on Task, SOP 767: Detailed Procedure on Task, SOP 237: Detailed Procedure on Task","Gloves, Safety Boots"
35,Task 35: Operation Mechanical Assembly,"SOP 287: Detailed Procedure on Task, SOP 161: Detailed Procedure on Task","Respirator, Goggles, Apron"
36,Task 36: Operation Mechanical Assembly,"SOP 702: Detailed Procedure on Task, SOP 760: Detailed Procedure on Task","Helmet, Insulated Gloves, Safety Boots"
37,Task 37: Operation Electrical Repair,"SOP 605: Detailed Procedure on Task, SOP 728: Detailed Procedure on Task","Safety Boots, Helmet"
38,Task 38: Operation Welding,"SOP 461: Detailed Procedure on Task, SOP 943: Detailed Procedure on Task, SOP 536: Detailed Procedure on Task, SOP 975: Detailed Procedure on Task","Apron, Face Shield"
39,Task 39: Operation Mechanical Assembly,"SOP 648: Detailed Procedure on Task, SOP 194: Detailed Procedure on Task","Safety Boots, Gloves, Insulated Gloves"
40,Task 40: Operation Plumbing,"SOP 518: Detailed Procedure on Task, SOP 902: Detailed Procedure on Task, SOP 722: Detailed Procedure on Task, SOP 318: Detailed Procedure on Task","Safety Boots, Face Shield, Apron"
41,Task 41: Operation Chemical Handling,"SOP 573: Detailed Procedure on Task, SOP 543: Detailed Procedure on Task","Gloves, Apron, Safety Boots, Face Shield"
42,Task 42: Operation Chemical Handling,"SOP 933: Detailed Procedure on Task, SOP 994: Detailed Procedure on Task, SOP 446: Detailed Procedure on Task","Face Shield, Apron, Helmet, Gloves"
43,Task 43: Operation Electrical Repair,"SOP 900: Detailed Procedure on Task, SOP 951: Detailed Procedure on Task, SOP 871: Detailed Procedure on Task","Face Shield, Goggles, Insulated Gloves"
44,Task 44: Operation Welding,"SOP 156: Detailed Procedure on Task, SOP 441: Detailed Procedure on Task","Apron, Ear Plugs, Safety Boots, Respirator, Goggles"
45,Task 45: Operation Chemical Handling,"SOP 132: Detailed Procedure on Task, SOP 412: Detailed Procedure on Task","Face Shield, Respirator, Apron, Gloves, Goggles"
46,Task 46: Operation Electrical Repair,"SOP 149: Detailed Procedure on Task, SOP 289: Detailed Procedure on Task, SOP 230: Detailed Procedure on Task, SOP 229: Detailed Procedure on Task, SOP 224: Detailed Procedure on Task","Apron, Respirator"
47,Task 47: Operation Chemical Handling,"SOP 287: Detailed Procedure on Task, SOP 684: Detailed Procedure on Task, SOP 125: Detailed Procedure on Task, SOP 546: Detailed Procedure on Task","Respirator, Apron, Goggles, Gloves"
48,Task 48: Operation Painting,"SOP 636: Detailed Procedure on Task, SOP 971: Detailed Procedure on Task, SOP 658: Detailed Procedure on Task","Ear Plugs, Respirator, Helmet"
49,Task 49: Operation Mechanical Assembly,"SOP 439: Detailed Procedure on Task, SOP 654: Detailed Procedure on Task","Apron, Ear Plugs, Insulated Gloves, Gloves, Goggles"
50,Task 50: Operation Plumbing,"SOP 398: Detailed Procedure on Task, SOP 194: Detailed Procedure on Task, SOP 918: Detailed Procedure on Task, SOP 375: Detailed Procedure on Task","Goggles, Helmet, Safety Boots"
51,Task 51: Operation Chemical Handling,"SOP 748: Detailed Procedure on Task, SOP 727: Detailed Procedure on Task, SOP 455: Detailed Procedure on Task, SOP 595: Detailed Procedure on Task, SOP 109: Detailed Procedure on Task","Face Shield, Helmet, Gloves, Apron, Safety Boots"
52,Task 52: Operation Plumbing,"SOP 222: Detailed Procedure on Task, SOP 544: Detailed Procedure on Task, SOP 914: Detailed Procedure on Task, SOP 247: Detailed Procedure on Task, SOP 466: Detailed Procedure on Task","Goggles, Helmet"
53,Task 53: Operation Electrical Repair,"SOP 215: Detailed Procedure on Task, SOP 526: Detailed Procedure on Task","Face Shield, Respirator, Goggles, Helmet, Ear Plugs"
54,Task 54: Operation Painting,"SOP 705: Detailed Procedure on Task, SOP 133: Detailed Procedure on Task, SOP 793: Detailed Procedure on Task, SOP 700: Detailed Procedure on Task","Helmet, Insulated Gloves, Ear Plugs, Gloves"
55,Task 55: Operation Painting,"SOP 799: Detailed Procedure on Task, SOP 404: Detailed Procedure on Task, SOP 718: Detailed Procedure on Task","Goggles, Helmet, Ear Plugs, Respirator"
56,Task 56: Operation Chemical Handling,"SOP 128: Detailed Procedure on Task, SOP 752: Detailed Procedure on Task, SOP 334: Detailed Procedure on Task, SOP 730: Detailed Procedure on Task, SOP 298: Detailed Procedure on Task","Gloves, Helmet, Face Shield, Respirator"
57,Task 57: Operation Electrical Repair,"SOP 605: Detailed Procedure on Task, SOP 576: Detailed Procedure on Task","Ear Plugs, Respirator, Goggles"
58,Task 58: Operation Painting,"SOP 322: Detailed Procedure on Task, SOP 309: Detailed Procedure on Task, SOP 353: Detailed Procedure on Task, SOP 316: Detailed Procedure on Task","Ear Plugs, Respirator, Gloves, Insulated Gloves, Face Shield"
59,Task 59: Operation Chemical Handling,"SOP 998: Detailed Procedure on Task, SOP 990: Detailed Procedure on Task","Apron, Insulated Gloves, Helmet, Gloves"
60,Task 60: Operation Mechanical Assembly,"SOP 820: Detailed Procedure on Task, SOP 593: Detailed Procedure on Task, SOP 971: Detailed Procedure on Task, SOP 532: Detailed Procedure on Task, SOP 962: Detailed Procedure on Task","Ear Plugs, Face Shield, Helmet, Insulated Gloves, Gloves"
61,Task 61: Operation Welding,"SOP 381: Detailed Procedure on Task, SOP 559: Detailed Procedure on Task","Safety Boots, Apron"
62,Task 62: Operation Painting,"SOP 812: Detailed Procedure on Task, SOP 218: Detailed Procedure on Task","Ear Plugs, Goggles"
63,Task 63: Operation Chemical Handling,"SOP 950: Detailed Procedure on Task, SOP 114: Detailed Procedure on Task, SOP 902: Detailed Procedure on Task, SOP 732: Detailed Procedure on Task, SOP 744: Detailed Procedure on Task","Respirator, Face Shield, Insulated Gloves, Ear Plugs"
64,Task 64: Operation Mechanical Assembly,"SOP 531: Detailed Procedure on Task, SOP 806: Detailed Procedure on Task, SOP 284: Detailed Procedure on Task, SOP 801: Detailed Procedure on Task, SOP 590: Detailed Procedure on Task","Face Shield, Gloves, Ear Plugs, Safety Boots, Insulated Gloves"
65,Task 65: Operation Painting,"SOP 651: Detailed Procedure on Task, SOP 268: Detailed Procedure on Task, SOP 459: Detailed Procedure on Task","Safety Boots, Helmet, Insulated Gloves"
66,Task 66: Operation Mechanical Assembly,"SOP 132: Detailed Procedure on Task, SOP 462: Detailed Procedure on Task, SOP 130: Detailed Procedure on Task, SOP 736: Detailed Procedure on Task, SOP 848: Detailed Procedure on Task","Gloves, Goggles"
67,Task 67: Operation Mechanical Assembly,"SOP 400: Detailed Procedure on Task, SOP 443: Detailed Procedure on Task, SOP 685: Detailed Procedure on Task","Goggles, Ear Plugs, Apron, Insulated Gloves, Respirator"
68,Task 68: Operation Plumbing,"SOP 273: Detailed Procedure on Task, SOP 160: Detailed Procedure on Task, SOP 831: Detailed Procedure on Task, SOP 750: Detailed Procedure on Task, SOP 832: Detailed Procedure on Task","Insulated Gloves, Goggles"
69,Task 69: Operation Welding,"SOP 809: Detailed Procedure on Task, SOP 644: Detailed Procedure on Task, SOP 693: Detailed Procedure on Task, SOP 970: Detailed Procedure on Task","Goggles, Apron, Insulated Gloves"
70,Task 70: Operation Chemical Handling,"SOP 700: Detailed Procedure on Task, SOP 701: Detailed Procedure on Task, SOP 883: Detailed Procedure on Task","Ear Plugs, Gloves, Apron, Goggles"
71,Task 71: Operation Plumbing,"SOP 571: Detailed Procedure on Task, SOP 254: Detailed Procedure on Task","Goggles, Safety Boots, Gloves"
72,Task 72: Operation Welding,"SOP 371: Detailed Procedure on Task, SOP 593: Detailed Procedure on Task","Safety Boots, Apron, Face Shield, Respirator, Ear Plugs"
73,Task 73: Operation Painting,"SOP 211: Detailed Procedure on Task, SOP 925: Detailed Procedure on Task, SOP 127: Detailed Procedure on Task, SOP 972: Detailed Procedure on Task, SOP 452: Detailed Procedure on Task","Helmet, Ear Plugs"
74,Task 74: Operation Chemical Handling,"SOP 461: Detailed Procedure on Task, SOP 859: Detailed Procedure on Task, SOP 624: Detailed Procedure on Task, SOP 752: Detailed Procedure on Task, SOP 445: Detailed Procedure on Task","Respirator, Safety Boots, Goggles, Helmet"
75,Task 75: Operation Chemical Handling,"SOP 834: Detailed Procedure on Task, SOP 371: Detailed Procedure on Task","Safety Boots, Ear Plugs, Respirator, Goggles, Helmet"
76,Task 76: Operation Welding,"SOP 224: Detailed Procedure on Task, SOP 473: Detailed Procedure on Task","Helmet, Face Shield, Ear Plugs"
77,Task 77: Operation Welding,"SOP 598: Detailed Procedure on Task, SOP 315: Detailed Procedure on Task, SOP 281: Detailed Procedure on Task, SOP 704: Detailed Procedure on Task","Apron, Face Shield, Respirator"
78,Task 78: Operation Mechanical Assembly,"SOP 723: Detailed Procedure on Task, SOP 318: Detailed Procedure on Task, SOP 270: Detailed Procedure on Task","Gloves, Apron, Respirator, Safety Boots"
79,Task 79: Operation Welding,"SOP 465: Detailed Procedure on Task, SOP 967: Detailed Procedure on Task, SOP 312: Detailed Procedure on Task, SOP 961: Detailed Procedure on Task","Helmet, Safety Boots, Apron, Insulated Gloves"
80,Task 80: Operation Electrical Repair,"SOP 270: Detailed Procedure on Task, SOP 477: Detailed Procedure on Task, SOP 374: Detailed Procedure on Task","Respirator, Gloves, Safety Boots, Apron"
81,Task 81: Operation Welding,"SOP 280: Detailed Procedure on Task, SOP 328: Detailed Procedure on Task, SOP 581: Detailed Procedure on Task, SOP 977: Detailed Procedure on Task","Respirator, Apron"
82,Task 82: Operation Welding,"SOP 578: Detailed Procedure on Task, SOP 201: Detailed Procedure on Task, SOP 993: Detailed Procedure on Task, SOP 434: Detailed Procedure on Task, SOP 201: Detailed Procedure on Task","Safety Boots, Helmet, Apron, Face Shield"
83,Task 83: Operation Mechanical Assembly,"SOP 768: Detailed Procedure on Task, SOP 236: Detailed Procedure on Task","Goggles, Apron, Insulated Gloves, Safety Boots, Respirator"
84,Task 84: Operation Chemical Handling,"SOP 978: Detailed Procedure on Task, SOP 605: Detailed Procedure on Task, SOP 954: Detailed Procedure on Task","Respirator, Insulated Gloves, Safety Boots, Helmet"
85,Task 85: Operation Mechanical Assembly,"SOP 794: Detailed Procedure on Task, SOP 486: Detailed Procedure on Task","Safety Boots, Face Shield"
86,Task 86: Operation Painting,"SOP 131: Detailed Procedure on Task, SOP 755: Detailed Procedure on Task, SOP 408: Detailed Procedure on Task, SOP 301: Detailed Procedure on Task, SOP 494: Detailed Procedure on Task","Goggles, Safety Boots, Insulated Gloves, Respirator, Face Shield"
87,Task 87: Operation Mechanical Assembly,"SOP 769: Detailed Procedure on Task, SOP 142: Detailed Procedure on Task, SOP 696: Detailed Procedure on Task, SOP 983: Detailed Procedure on Task, SOP 564: Detailed Procedure on Task","Helmet, Gloves, Goggles, Safety Boots"
88,Task 88: Operation Welding,"SOP 316: Detailed Procedure on Task, SOP 240: Detailed Procedure on Task, SOP 317: Detailed Procedure on Task, SOP 528: Detailed Procedure on Task, SOP 495: Detailed Procedure on Task","Face Shield, Respirator, Insulated Gloves, Safety Boots, Gloves"
89,Task 89: Operation Welding,"SOP 537: Detailed Procedure on Task, SOP 293: Detailed Procedure on Task, SOP 770: Detailed Procedure on Task, SOP 998: Detailed Procedure on Task","Gloves, Helmet, Apron, Insulated Gloves"
90,Task 90: Operation Chemical Handling,"SOP 922: Detailed Procedure on Task, SOP 321: Detailed Procedure on Task, SOP 186: Detailed Procedure on Task, SOP 121: Detailed Procedure on Task","Insulated Gloves, Ear Plugs"
91,Task 91: Operation Electrical Repair,"SOP 761: Detailed Procedure on Task, SOP 241: Detailed Procedure on Task, SOP 138: Detailed Procedure on Task, SOP 296: Detailed Procedure on Task, SOP 346: Detailed Procedure on Task","Safety Boots, Helmet, Gloves, Face Shield"
92,Task 92: Operation Electrical Repair,"SOP 940: Detailed Procedure on Task, SOP 495: Detailed Procedure on Task, SOP 302: Detailed Procedure on Task, SOP 218: Detailed Procedure on Task","Safety Boots, Helmet, Respirator, Face Shield"
93,Task 93: Operation Chemical Handling,"SOP 750: Detailed Procedure on Task, SOP 220: Detailed Procedure on Task, SOP 793: Detailed Procedure on Task","Insulated Gloves, Respirator, Goggles, Gloves"
94,Task 94: Operation Electrical Repair,"SOP 466: Detailed Procedure on Task, SOP 102: Detailed Procedure on Task, SOP 770: Detailed Procedure on Task, SOP 577: Detailed Procedure on Task","Insulated Gloves, Apron, Helmet, Goggles, Face Shield"
95,Task 95: Operation Welding,"SOP 139: Detailed Procedure on Task, SOP 798: Detailed Procedure on Task, SOP 592: Detailed Procedure on Task, SOP 970: Detailed Procedure on Task, SOP 832: Detailed Procedure on Task","Helmet, Safety Boots, Goggles"
96,Task 96: Operation Welding,"SOP 218: Detailed Procedure on Task, SOP 204: Detailed Procedure on Task, SOP 332: Detailed Procedure on Task","Helmet, Insulated Gloves, Gloves, Respirator"
97,Task 97: Operation Mechanical Assembly,"SOP 358: Detailed Procedure on Task, SOP 684: Detailed Procedure on Task, SOP 614: Detailed Procedure on Task, SOP 993: Detailed Procedure on Task, SOP 181: Detailed Procedure on Task","Goggles, Apron, Face Shield"
98,Task 98: Operation Electrical Repair,"SOP 976: Detailed Procedure on Task, SOP 211: Detailed Procedure on Task, SOP 914: Detailed Procedure on Task, SOP 800: Detailed Procedure on Task, SOP 940: Detailed Procedure on Task","Goggles, Gloves, Insulated Gloves, Ear Plugs"
99,Task 99: Operation Electrical Repair,"SOP 357: Detailed Procedure on Task, SOP 178: Detailed Procedure on Task, SOP 420: Detailed Procedure on Task, SOP 282: Detailed Procedure on Task","Goggles, Apron"
100,Task 100: Operation Chemical Handling,"SOP 878: Detailed Procedure on Task, SOP 144: Detailed Procedure on Task, SOP 380: Detailed Procedure on Task","Respirator, Apron, Insulated Gloves"
